"vehicle_combo","total_collisions"
"Sedan + Sedan","176174"
"PASSENGER VEHICLE + PASSENGER VEHICLE","174113"
"Station Wagon/Sport Utility Vehicle + Station Wagon/Sport Utility Vehicle","119489"
"Station Wagon/Sport Utility Vehicle + Sedan","111307"
"Sedan + Station Wagon/Sport Utility Vehicle","110202"
"PASSENGER VEHICLE + SPORT UTILITY / STATION WAGON","57245"
"SPORT UTILITY / STATION WAGON + PASSENGER VEHICLE","56951"
"PASSENGER VEHICLE + UNKNOWN","48219"
"SPORT UTILITY / STATION WAGON + SPORT UTILITY / STATION WAGON","45260"
"SPORT UTILITY / STATION WAGON + UNKNOWN","19109"
"4 dr sedan + 4 dr sedan","14193"
"Sedan + Pick-up Truck","13364"
"Sedan + Bike","13152"
"Taxi + Sedan","12204"
"Sedan + Taxi","11708"
"Sedan + Sedan + Sedan","11689"
"Sedan + Box Truck","11393"
"Pick-up Truck + Sedan","10947"
"PASSENGER VEHICLE + TAXI","10694"
"Station Wagon/Sport Utility Vehicle + Bike","10425"
